nodes/id,nodes/class_name
bathroom,11
floor,12
floor,13
floor,14
floor,15
floor,16
floor,17
wall,18
wall,19
wall,20
wall,21
wall,22
wall,23
wall,24
ceiling,25
ceiling,26
ceiling,27
ceiling,28
ceiling,29
ceiling,30
rug,31
curtains,32
curtains,33
curtains,34
ceilinglamp,35
walllamp,36
walllamp,37
walllamp,38
bathtub,39
towelrack,40
towelrack,41
towelrack,42
towelrack,43
wallshelf,44
stall,45
toilet,46
stall,47
curtains,48
bathroomcabinet,49
bathroomcounter,50
sink,51
faucet,52
door,53
doorjamb,54
towel,55
towel,56
towel,57
perfume,58
deodorant,59
hairproduct,60
hairproduct,61
facecream,62
plate,63
toothpaste,64
painkillers,65
waterglass,66
toothbrush,67
barsoap,68
towel,69
towel,70
candle,71
window,72
lightswitch,73
washingmachine,74
bedroom,75
floor,76
floor,77
floor,78
floor,79
floor,80
floor,81
floor,82
floor,83
floor,84
wall,85
wall,86
wall,87
wall,88
wall,89
wall,90
wall,91
wall,92
window,93
ceiling,94
ceiling,95
ceiling,96
ceiling,97
ceiling,98
ceiling,99
ceiling,100
ceiling,101
ceiling,102
ceilinglamp,103
tablelamp,104
tablelamp,105
garbagecan,106
nightstand,107
bookshelf,108
nightstand,109
chair,110
desk,111
bed,112
chair,113
coffeetable,114
closet,115
hanger,116
hanger,117
hanger,118
hanger,119
hanger,120
hanger,121
hanger,122
closetdrawer,123
closetdrawer,124
closetdrawer,125
closetdrawer,126
closetdrawer,127
closetdrawer,128
closetdrawer,129
closet,130
hanger,131
clothesshirt,132
hanger,133
clothespants,134
hanger,135
clothesshirt,136
hanger,137
clothespants,138
hanger,139
clothespants,140
hanger,141
clothespants,142
hanger,143
clothespants,144
hanger,145
clothesshirt,146
hanger,147
hanger,148
hanger,149
closetdrawer,150
clothespile,151
clothespile,152
closetdrawer,153
clothespile,154
closetdrawer,155
clothespile,156
closetdrawer,157
clothespile,158
clothespile,159
clothespile,160
closetdrawer,161
clothespile,162
clothespile,163
clothespile,164
closetdrawer,165
clothespile,166
closetdrawer,167
clothespile,168
clothespile,169
clothespile,170
clothespile,171
doorjamb,172
mouse,173
mousemat,174
keyboard,175
lightswitch,176
computer,177
cpuscreen,178
radio,179
rug,180
wallpictureframe,181
wallpictureframe,182
wallpictureframe,183
candle,184
orchid,185
curtains,186
curtains,187
curtains,188
pillow,189
pillow,190
cupcake,191
cupcake,192
cellphone,193
photoframe,194
book,195
book,196
box,197
plate,198
mug,199
wineglass,200
wineglass,201
plate,202
slippers,203
slippers,204
cellphone,205
folder,206
folder,207
towel,208
kitchen,209
floor,210
floor,211
floor,212
floor,213
floor,214
floor,215
wall,216
wall,217
wall,218
wall,219
wall,220
wall,221
wall,222
ceiling,223
ceiling,224
ceiling,225
ceiling,226
ceiling,227
ceiling,228
door,229
ceilinglamp,230
ceilinglamp,231
tvstand,232
kitchentable,233
bench,234
bench,235
kitchencabinet,236
kitchencabinet,237
kitchencabinet,238
kitchencabinet,239
kitchencounter,240
kitchencounterdrawer,241
kitchencounterdrawer,242
kitchencounterdrawer,243
kitchencounterdrawer,244
kitchencounterdrawer,245
kitchencounterdrawer,246
kitchencounterdrawer,247
kitchencounterdrawer,248
sink,249
faucet,250
bookshelf,251
wallshelf,252
wallshelf,253
rug,254
rug,255
wallpictureframe,256
wallpictureframe,257
wallpictureframe,258
wallpictureframe,259
wallpictureframe,260
wallpictureframe,261
orchid,262
lightswitch,263
powersocket,264
wallphone,265
tv,266
clock,267
washingsponge,268
dishwashingliquid,269
fryingpan,270
book,271
waterglass,272
cutleryknife,273
cutleryfork,274
plate,275
waterglass,276
cutleryknife,277
cutleryfork,278
plate,279
plate,280
cutleryfork,281
cutleryknife,282
waterglass,283
waterglass,284
cutleryknife,285
cutleryfork,286
plate,287
clothespile,288
box,289
dishbowl,290
book,291
book,292
book,293
book,294
book,295
condimentbottle,296
condimentbottle,297
condimentshaker,298
condimentshaker,299
wineglass,300
wineglass,301
box,302
photoframe,303
paper,304
paper,305
towel,306
stovefan,307
fridge,308
coffeemaker,309
coffeepot,310
toaster,311
breadslice,312
breadslice,313
stove,314
oventray,315
microwave,316
plate,317
salad,318
cupcake,319
bananas,320
bananas,321
dishbowl,322
whippedcream,323
pie,324
bellpepper,325
bellpepper,326
bellpepper,327
bellpepper,328
bellpepper,329
bellpepper,330
dishbowl,331
salmon,332
chips,333
chips,334
candybar,335
chocolatesyrup,336
crackers,337
creamybuns,338
cereal,339
chicken,340
milk,341
livingroom,342
floor,343
floor,344
floor,345
floor,346
floor,347
floor,348
floor,349
floor,350
floor,351
wall,352
wall,353
wall,354
wall,355
wall,356
wall,357
wall,358
wall,359
ceiling,360
ceiling,361
ceiling,362
ceiling,363
ceiling,364
ceiling,365
ceiling,366
ceiling,367
ceiling,368
doorjamb,369
doorjamb,370
window,371
ceilinglamp,372
walllamp,373
walllamp,374
sofa,375
tvstand,376
bookshelf,377
coffeetable,378
chair,379
desk,380
closet,381
hanger,382
clothesshirt,383
hanger,384
clothespants,385
hanger,386
clothesshirt,387
hanger,388
clothespants,389
hanger,390
clothespants,391
hanger,392
clothespants,393
clothespants,394
hanger,395
clothesshirt,396
hanger,397
hanger,398
hanger,399
closetdrawer,400
clothespile,401
clothespile,402
closetdrawer,403
clothespile,404
closetdrawer,405
clothespile,406
closetdrawer,407
clothespile,408
clothespile,409
clothespile,410
closetdrawer,411
clothespile,412
clothespile,413
clothespile,414
closetdrawer,415
clothespile,416
closetdrawer,417
clothespile,418
clothespile,419
clothespile,420
clothespile,421
cabinet,422
wallpictureframe,423
rug,424
wallpictureframe,425
wallpictureframe,426
wallpictureframe,427
pillow,428
pillow,429
curtains,430
curtains,431
curtains,432
tv,433
lightswitch,434
powersocket,435
mouse,436
mousemat,437
keyboard,438
cpuscreen,439
computer,440
book,441
box,442
book,443
apple,444
apple,445
bananas,446
lime,447
peach,448
peach,449
plum,450
plum,451
dishbowl,452
photoframe,453
mug,454
towel,455
cellphone,456
cellphone,457
paper,458
paper,459
remotecontrol,460
folder,461
plate,462
cupcake,463
breadslice,464
